Player,Split,Team,GP,GS,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS
Semaj Christon,G League Regular Season Stats,OKC,48,44,35.2,6.8,15.8,.430,0.3,1.1,.269,4.8,6.0,.786,0.8,2.9,3.7,5.6,1.6,0.2,2.4,3.2,18.6
Luke Babbitt,G League Regular Season Stats,IDA,17,12,30.1,7.1,14.1,.500,1.4,3.5,.407,4.7,5.4,.870,2.2,5.4,7.6,1.8,0.9,0.5,2.4,1.8,20.2
Miles Plumlee,G League Regular Season Stats,All Teams,17,14,28.7,4.6,10.1,.456,0.0,0.0,.000,1.1,2.1,.500,3.3,6.1,9.4,1.1,0.8,1.8,2.6,2.5,10.2
Shane Larkin,G League Regular Season Stats,TEX,4,3,35.7,5.5,11.8,.468,2.0,3.5,.571,2.2,2.8,.818,0.5,4.8,5.2,8.2,2.0,0.0,2.2,3.5,15.2
Abdel Nader,G League Regular Season Stats,MNE,44,44,33.8,7.3,16.5,.444,2.5,7.0,.353,4.1,5.2,.798,0.8,5.4,6.1,3.7,1.0,0.9,2.5,3.6,21.3
Guerschon Yabusele,G League Regular Season Stats,MNE,10,9,31.8,7.4,14.2,.521,1.8,5.1,.353,4.2,5.1,.824,2.5,5.3,7.8,2.3,1.1,1.1,3.0,3.3,20.8
Marcus Morris,G League Regular Season Stats,RGV,11,9,30.0,7.7,16.9,.457,1.1,4.3,.255,4.2,5.7,.730,2.6,5.6,8.3,1.1,1.3,0.5,2.3,2.4,20.7
Quincy Acy,G League Regular Season Stats,All Teams,25,22,30.1,5.4,10.0,.538,0.7,2.0,.347,3.6,4.8,.742,2.0,5.9,7.9,1.2,1.0,1.3,3.4,2.6,15.0
Joe Harris,G League Regular Season Stats,CAN,21,21,32.3,5.2,13.3,.394,1.9,6.4,.291,2.9,3.8,.759,1.3,4.0,5.3,3.0,0.9,0.2,3.1,2.3,15.2
Sean Kilpatrick,G League Regular Season Stats,All Teams,72,53,32.0,6.6,14.5,.452,2.4,6.2,.382,3.3,4.0,.810,0.5,2.9,3.5,2.0,1.0,0.1,1.2,1.9,18.8
Jeremy Lin,G League Regular Season Stats,All Teams,21,11,32.3,6.4,13.4,.480,0.7,1.9,.359,5.0,6.8,.732,1.4,4.6,6.0,4.7,2.0,0.3,2.6,2.8,18.5
Treveon Graham,G League Regular Season Stats,IDA,46,20,30.4,5.7,12.3,.460,1.5,4.5,.330,2.9,4.7,.622,1.6,4.5,6.1,1.6,0.8,0.2,2.6,1.4,15.7
Jeremy Lamb,G League Regular Season Stats,TUL,21,21,32.8,8.0,16.4,.490,1.8,5.0,.352,3.1,3.6,.880,1.5,3.8,5.3,3.0,1.2,0.8,2.0,2.5,21.0
Johnny OBryant,G League Regular Season Stats,NAS,25,25,32.2,6.9,15.3,.450,1.1,3.0,.373,3.2,4.2,.779,2.4,6.2,8.6,1.6,1.0,0.6,4.0,2.1,18.1
Julyan Stone,G League Regular Season Stats,All Teams,46,37,31.7,2.5,6.7,.375,1.0,3.1,.329,1.3,2.0,.674,0.7,5.0,5.7,7.8,1.3,0.8,2.6,2.6,7.4
Justin Holiday,G League Regular Season Stats,All Teams,48,43,34.7,6.2,14.8,.422,1.7,4.1,.414,3.3,4.1,.810,1.2,4.1,5.3,2.5,2.4,1.2,2.0,2.0,17.5
David Nwaba,G League Regular Season Stats,SBL,40,31,28.7,5.7,8.8,.647,0.1,0.4,.235,2.5,4.1,.612,2.7,4.2,6.9,1.1,1.4,1.1,2.7,0.8,14.1
Yogi Ferrell,G League Regular Season Stats,LIN,18,18,35.7,6.2,14.6,.424,2.7,6.8,.398,3.6,4.0,.903,0.6,2.3,2.9,5.8,1.5,0.1,2.8,2.1,18.7
Salah Mejri,G League Regular Season Stats,TEX,8,2,23.8,3.8,6.6,.566,0.1,1.0,.125,0.9,1.0,.875,1.5,6.2,7.8,0.6,0.6,2.9,4.0,1.9,8.5
Dwight Powell,G League Regular Season Stats,All Teams,12,12,35.9,10.4,17.4,.598,0.9,2.3,.393,4.2,6.0,.708,3.0,6.8,9.8,2.7,0.9,1.1,3.5,2.8,26.0
Seth Curry,G League Regular Season Stats,All Teams,81,79,35.9,7.6,16.5,.462,3.1,7.4,.425,3.5,3.9,.896,0.4,3.1,3.5,4.9,1.4,0.1,2.1,2.9,21.9
Josh McRoberts,G League Regular Season Stats,IDA,15,2,26.8,3.1,7.4,.414,0.1,0.9,.154,1.4,2.0,.700,1.7,4.7,6.4,2.5,0.6,0.9,1.6,2.1,7.7
Will Barton,G League Regular Season Stats,IDA,4,4,37.7,6.0,16.2,.369,1.5,5.8,.261,3.2,3.8,.867,0.0,5.2,5.2,3.0,1.0,0.8,0.8,2.8,16.8
Malik Beasley,G League Regular Season Stats,SXF,16,12,31.1,6.8,14.8,.458,1.9,5.1,.370,3.5,3.9,.889,1.4,6.1,7.6,2.6,1.1,0.1,1.9,2.1,18.9
Juancho Hernangomez,G League Regular Season Stats,SXF,1,0,25.9,6.0,14.0,.429,1.0,5.0,.200,4.0,7.0,.571,3.0,8.0,11.0,1.0,0.0,2.0,5.0,4.0,17.0
Reggie Bullock,G League Regular Season Stats,All Teams,5,5,35.5,9.0,16.2,.556,3.6,6.8,.529,3.2,4.0,.800,1.8,7.0,8.8,3.2,2.0,1.2,2.0,1.4,24.8
Henry Ellenson,G League Regular Season Stats,GRD,23,23,35.8,6.2,14.9,.417,2.0,5.8,.336,4.5,5.6,.805,1.6,7.4,9.0,1.3,0.6,0.8,2.6,2.1,18.9
Langston Galloway,G League Regular Season Stats,WCK,19,19,36.8,6.1,13.5,.449,2.1,5.7,.361,2.3,2.8,.830,1.1,4.8,5.9,2.5,2.6,0.4,2.9,1.5,16.5
Reggie Jackson,G League Regular Season Stats,TUL,4,4,38.7,10.8,20.5,.524,1.2,4.8,.263,3.8,4.0,.938,0.8,6.5,7.2,8.2,0.2,0.0,2.2,2.5,26.5
Stanley Johnson,G League Regular Season Stats,GRD,1,1,37.4,9.0,19.0,.474,3.0,8.0,.375,5.0,8.0,.625,1.0,4.0,5.0,4.0,1.0,1.0,4.0,3.0,26.0
Jon Leuer,G League Regular Season Stats,CAN,8,7,36.4,7.8,15.1,.512,0.9,1.9,.467,3.1,5.0,.625,1.6,10.6,12.2,1.8,1.2,0.5,2.9,2.8,19.5
Boban Marjanovic,G League Regular Season Stats,AUS,3,3,26.4,11.0,13.7,.805,0.0,0.0,.000,1.7,2.7,.625,4.7,7.7,12.3,2.3,0.3,1.3,2.7,3.0,23.7
Ish Smith,G League Regular Season Stats,RGV,8,5,32.9,5.5,12.2,.449,0.5,2.0,.250,1.0,2.0,.500,0.9,3.4,4.2,7.9,1.5,1.2,3.0,3.6,12.5
Eric Moreland,G League Regular Season Stats,All Teams,56,51,32.2,5.5,9.8,.565,0.0,0.1,.333,1.6,4.2,.369,3.5,9.0,12.4,2.5,1.6,2.5,3.6,2.2,12.6
Tarik Black,G League Regular Season Stats,SBL,9,9,32.3,7.0,12.0,.583,0.0,0.2,.000,3.1,4.9,.636,3.9,7.9,11.8,1.2,0.7,2.0,4.4,2.3,17.1
Damien Wilkins,G League Regular Season Stats,All Teams,102,76,34.6,5.9,12.7,.467,1.1,3.1,.347,4.9,6.0,.824,1.1,4.4,5.5,3.7,1.2,0.6,2.6,2.2,17.8
Willie Reed,G League Regular Season Stats,All Teams,145,102,31.4,6.6,11.2,.585,0.0,0.0,.000,2.2,3.8,.569,3.9,6.0,9.9,0.9,0.6,1.8,2.8,1.4,15.3
Jordan Clarkson,G League Regular Season Stats,SBL,5,5,36.0,9.2,18.4,.500,0.8,3.6,.222,3.4,4.2,.810,1.4,3.6,5.0,7.8,0.8,0.2,2.0,3.4,22.6
Tyler Ennis,G League Regular Season Stats,BAK,9,9,33.5,7.4,15.6,.479,1.7,5.0,.333,1.9,2.3,.810,2.0,2.3,4.3,5.3,1.8,0.2,3.2,2.6,18.4
Ivica Zubac,G League Regular Season Stats,SBL,27,27,30.0,8.0,13.3,.603,0.2,0.6,.294,2.3,2.7,.838,2.7,6.7,9.4,1.5,0.3,1.6,2.7,2.8,18.6
James Ennis,G League Regular Season Stats,IWA,24,21,33.3,6.6,14.5,.454,1.8,5.5,.321,3.8,5.5,.697,1.9,4.2,6.0,2.6,1.0,0.5,2.8,2.7,18.8
James Johnson,G League Regular Season Stats,All Teams,18,18,30.9,6.8,13.2,.513,0.9,3.4,.258,4.4,5.2,.849,2.4,6.6,9.0,4.6,1.5,3.0,3.6,3.6,18.8
Tyler Johnson,G League Regular Season Stats,SXF,15,15,34.5,6.6,13.5,.490,1.3,3.1,.426,3.9,4.9,.808,1.3,3.0,4.3,4.3,0.9,0.4,2.5,1.7,18.5
Josh Richardson,G League Regular Season Stats,SXF,4,4,38.2,8.8,18.5,.473,2.8,7.0,.393,3.0,4.2,.706,1.5,3.0,4.5,3.8,2.5,1.2,2.8,2.0,23.2
Okaro White,G League Regular Season Stats,SXF,23,23,33.0,6.3,14.3,.439,1.7,5.5,.302,4.3,5.0,.860,2.5,6.2,8.7,1.7,1.1,0.6,4.0,3.1,18.4
Hassan Whiteside,G League Regular Season Stats,All Teams,65,15,13.7,3.0,5.1,.590,0.0,0.0,.000,1.2,2.2,.553,2.0,3.6,5.5,0.2,0.4,2.3,1.7,1.1,7.2
AJ Hammons,G League Regular Season Stats,All Teams,40,28,22.2,4.4,8.4,.524,0.1,0.8,.176,0.9,1.2,.776,2.0,4.6,6.7,1.0,0.5,2.0,3.5,1.1,9.9
Rodney McGruder,G League Regular Season Stats,All Teams,77,51,32.0,5.2,10.4,.501,1.5,4.0,.375,1.4,2.1,.698,1.8,2.9,4.8,2.0,1.1,0.2,2.0,1.3,13.4
DeAndre Liggins,G League Regular Season Stats,All Teams,95,93,38.2,4.3,10.5,.413,1.8,4.7,.380,2.9,3.9,.737,0.9,5.9,6.8,5.5,2.2,0.5,3.1,3.5,13.3
Cole Aldrich,G League Regular Season Stats,TUL,21,21,29.3,4.1,7.5,.544,0.0,0.0,.000,2.1,2.7,.804,2.6,6.0,8.6,1.3,0.5,2.6,3.9,1.8,10.3
Tyus Jones,G League Regular Season Stats,IDA,6,6,35.2,9.7,19.8,.487,3.3,7.8,.426,2.0,2.2,.923,0.7,3.2,3.8,5.0,1.5,0.2,2.2,2.3,24.7
Shabazz Muhammad,G League Regular Season Stats,IWA,4,4,27.7,9.0,15.8,.571,0.8,1.5,.500,5.8,7.8,.742,5.2,4.5,9.8,1.8,1.5,0.2,2.0,1.2,24.5
Jordan Crawford,G League Regular Season Stats,All Teams,45,25,30.9,8.4,18.7,.451,2.6,7.6,.346,3.8,4.4,.873,0.5,3.2,3.7,3.7,1.2,0.1,1.9,2.0,23.3
Cheick Diallo,G League Regular Season Stats,All Teams,26,21,27.9,6.4,12.8,.502,0.0,0.2,.000,2.1,2.8,.753,1.8,6.7,8.5,0.7,0.5,2.4,3.5,1.7,15.0
Darius Miller,G League Regular Season Stats,IWA,11,8,27.2,3.5,7.6,.464,1.9,3.7,.512,0.9,1.2,.769,0.6,2.8,3.5,1.6,0.5,0.6,2.9,1.4,9.9
Alexis Ajinca,G League Regular Season Stats,All Teams,33,21,24.9,4.9,9.3,.523,0.0,0.2,.000,3.9,5.2,.760,2.7,4.6,7.3,0.4,0.5,2.7,3.8,2.8,13.7
Solomon Hill,G League Regular Season Stats,FWN,2,2,29.6,6.0,13.0,.462,2.5,6.5,.385,2.5,3.0,.833,0.5,3.0,3.5,3.0,1.0,1.0,3.0,4.0,17.0
Ron Baker,G League Regular Season Stats,WCK,7,7,36.3,3.9,8.7,.443,2.3,4.9,.471,2.1,3.0,.714,0.7,3.9,4.6,4.1,2.9,0.3,3.1,3.0,12.1
Tim Hardaway,G League Regular Season Stats,All Teams,5,2,26.9,5.2,12.6,.413,2.4,7.4,.324,6.0,6.8,.882,0.4,2.2,2.6,2.0,0.6,0.0,2.6,1.8,18.8
Ramon Sessions,G League Regular Season Stats,TUL,24,17,36.2,6.9,14.8,.463,0.2,0.5,.333,7.0,9.2,.764,2.2,4.4,6.6,7.6,1.6,0.1,1.9,3.5,20.9
Lance Thomas,G League Regular Season Stats,AUS,65,65,30.6,5.1,9.9,.514,0.0,0.2,.083,3.1,4.4,.711,2.9,3.3,6.2,1.3,0.7,0.3,3.0,1.6,13.3
Dakari Johnson,G League Regular Season Stats,OKC,104,101,28.4,6.2,11.3,.548,0.0,0.1,.143,3.4,5.3,.641,3.0,5.1,8.1,2.2,0.7,1.2,3.1,2.1,15.8
Khem Birch,G League Regular Season Stats,All Teams,69,53,28.2,4.8,7.2,.660,0.0,0.0,.000,2.5,3.5,.705,3.4,6.2,9.7,1.6,0.8,2.0,2.3,1.5,12.0
Justin Anderson,G League Regular Season Stats,TEX,7,7,38.3,9.0,19.6,.460,2.3,6.9,.333,2.7,3.4,.792,0.6,4.0,4.6,3.4,0.4,0.6,2.1,1.9,23.0
Robert Covington,G League Regular Season Stats,RGV,42,41,34.1,8.0,18.1,.440,3.2,8.5,.370,4.1,4.9,.843,2.8,6.4,9.2,1.7,2.4,1.4,3.4,2.5,23.2
Richaun Holmes,G League Regular Season Stats,DEL,6,6,24.5,4.8,8.2,.592,0.2,1.0,.167,2.3,3.2,.737,2.7,4.0,6.7,1.0,0.3,1.5,3.8,1.5,12.2
Eric Bledsoe,G League Regular Season Stats,BAK,2,0,21.2,4.5,9.0,.500,0.5,1.0,.500,3.0,5.0,.600,0.0,1.5,1.5,8.5,0.5,0.0,2.5,3.0,12.5
Derrick Jones,G League Regular Season Stats,All Teams,40,32,30.4,5.7,11.5,.492,0.9,3.3,.290,2.9,4.6,.628,1.9,4.8,6.7,1.4,1.1,1.6,3.1,1.6,15.2
Tyler Ulis,G League Regular Season Stats,NAS,1,1,36.1,6.0,17.0,.353,1.0,4.0,.250,0.0,0.0,.000,1.0,4.0,5.0,9.0,3.0,0.0,4.0,4.0,13.0
TJ Warren,G League Regular Season Stats,BAK,9,9,35.5,10.9,20.0,.544,1.1,3.9,.286,3.9,5.3,.729,3.1,3.9,7.0,1.6,1.6,0.6,1.9,2.2,26.8
Alan Williams,G League Regular Season Stats,NAS,1,1,28.0,7.0,14.0,.500,0.0,0.0,.000,6.0,8.0,.750,3.0,6.0,9.0,1.0,1.0,0.0,4.0,2.0,20.0
Kosta Koufos,G League Regular Season Stats,UTA,15,14,30.3,7.8,13.5,.576,0.0,0.1,.000,2.0,3.4,.588,3.4,5.5,8.9,1.8,0.9,2.3,2.5,2.2,17.6
Skal Labissiere,G League Regular Season Stats,RNO,19,19,31.4,6.5,13.3,.488,0.4,1.7,.212,2.9,4.3,.683,3.1,5.3,8.4,1.2,0.8,1.7,4.2,2.6,16.3
Malachi Richardson,G League Regular Season Stats,All Teams,19,18,31.2,5.1,12.9,.396,1.7,4.3,.407,4.6,5.9,.777,0.4,4.1,4.5,1.4,1.2,0.1,2.7,2.6,16.5
Garrett Temple,G League Regular Season Stats,All Teams,63,55,34.8,4.9,11.6,.423,2.1,5.6,.372,2.6,3.4,.759,1.0,3.6,4.5,3.6,1.3,0.6,3.1,2.4,14.5
George Papagiannis,G League Regular Season Stats,RNO,33,30,30.6,6.1,11.9,.511,0.1,0.2,.429,1.3,1.7,.772,2.5,6.1,8.6,0.7,0.5,2.2,3.1,2.1,13.6
Brandon Paul,G League Regular Season Stats,All Teams,46,25,25.7,4.8,10.4,.465,2.0,5.2,.389,2.9,3.7,.792,0.7,3.7,4.4,1.8,1.2,0.5,2.2,2.0,14.6
Alfonzo McKinnie,G League Regular Season Stats,All Teams,73,57,30.4,5.8,11.8,.488,1.1,3.3,.331,2.1,3.1,.692,2.4,6.4,8.8,1.0,0.6,0.5,2.7,1.6,14.7
Lucas Nogueira,G League Regular Season Stats,All Teams,15,6,23.8,3.8,7.1,.533,0.2,0.9,.231,1.7,2.6,.641,2.7,4.8,7.5,2.3,0.7,1.8,2.8,1.8,9.5
KJ McDaniels,G League Regular Season Stats,All Teams,36,15,30.2,5.9,12.4,.471,1.6,4.8,.333,2.2,2.9,.767,2.0,5.1,7.1,2.0,1.1,1.6,2.6,2.4,15.5
Carrick Felix,G League Regular Season Stats,All Teams,48,34,24.3,3.5,8.1,.438,0.6,2.5,.252,1.7,2.8,.600,1.1,3.2,4.3,1.6,1.1,0.5,2.8,1.7,9.4
Tim Frazier,G League Regular Season Stats,MNE,49,47,34.6,5.5,11.6,.474,1.0,2.8,.370,3.9,4.9,.803,2.1,5.3,7.4,9.5,1.6,0.3,3.3,3.3,15.9
Mike Scott,G League Regular Season Stats,All Teams,13,11,28.5,6.4,13.8,.461,0.8,2.5,.312,2.6,3.4,.773,2.8,3.6,6.5,1.5,0.6,0.5,2.7,1.8,16.2
Kent Bazemore,G League Regular Season Stats,SAN,7,7,33.6,7.3,16.9,.432,2.0,6.6,.304,4.3,5.3,.811,1.1,5.4,6.6,3.0,3.7,1.0,3.1,2.9,20.9
DeAndre Bembry,G League Regular Season Stats,All Teams,10,8,29.4,5.9,11.3,.522,0.6,2.0,.300,1.8,3.1,.581,1.4,4.9,6.3,3.3,1.8,0.7,2.5,2.5,14.2
Ryan Kelly,G League Regular Season Stats,All Teams,21,17,36.9,8.2,16.9,.489,1.6,4.8,.340,7.0,8.6,.812,1.5,6.8,8.2,3.1,1.0,1.9,3.2,2.1,25.1
Mike Muscala,G League Regular Season Stats,All Teams,9,5,25.8,4.8,9.4,.506,0.9,1.8,.500,2.4,2.8,.880,2.7,4.1,6.8,1.6,0.7,1.0,2.2,1.9,12.9
Taurean Prince,G League Regular Season Stats,LIN,5,3,28.3,8.0,16.0,.500,1.6,4.2,.381,3.0,4.2,.714,1.2,6.4,7.6,2.2,1.6,0.8,3.0,2.8,20.6
